company,stand_or_location,profile_url,raw_href,logo_proxy_url,logo_original_url
Bloomice,Stand G4,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F0d43fd9a3a9444b196f64982f805d64a.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/0d43fd9a3a9444b196f64982f805d64a.png
Bodio Electronic Technologies,Stand S6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MDAzMDI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MDAzMDI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F10d5b28808524f78b22d7437c96146b7.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/10d5b28808524f78b22d7437c96146b7.png
Braemac,Stand G11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F64a65a1a0146499797f85d146b58a0c6.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/64a65a1a0146499797f85d146b58a0c6.png
Brainboxes,Stand Q14,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTM=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTM=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F86706d8bea97414ba94928593045239a.jpeg&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/86706d8bea97414ba94928593045239a.jpeg
BSI Group,Stand A15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Ff1049f10ea494280b1d3838f140a433c.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/f1049f10ea494280b1d3838f140a433c.png
Bulgin,Stand C6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTM=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTM=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F07a7b3e221f340dc8323cced672a5b8a.jpeg&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/07a7b3e221f340dc8323cced672a5b8a.jpeg
ByteSnap Design,Stand C2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F823672fe43964bc1bd5fdcfcd53a6c07.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/823672fe43964bc1bd5fdcfcd53a6c07.png
C-MAC Electronics Solutions,Stand S1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAyMjE=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAyMjE=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F59f9c99112854dc8ad7bc7e6c5508287.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/59f9c99112854dc8ad7bc7e6c5508287.png
Caligra,Stand A12,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTg3NzM=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTg3NzM=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F6847ff1a700543d787b246c3041641e8.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/6847ff1a700543d787b246c3041641e8.png
Cambridge Electronic Industries,Stand A3,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTU=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTU=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F3c3576f61f914d6380fbbfc809f78b53.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/3c3576f61f914d6380fbbfc809f78b53.png
Challenger Solutions,Stand C16,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F331446c34f4e4287abcc7d8fc2fa9aac.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/331446c34f4e4287abcc7d8fc2fa9aac.png
Charcroft Electronics,Stand A14,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzNjQxOTU=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzNjQxOTU=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fa48174247ca94ca3ac13cba6983df75a.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/a48174247ca94ca3ac13cba6983df75a.png
Chevin Technology,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3OTk=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3OTk=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F605521a9a4f2433e98131f6bbf2eb1ba.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/605521a9a4f2433e98131f6bbf2eb1ba.png
Chipletti,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk2Njc=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk2Njc=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Facf74251332947838b724a9680f054d5.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/acf74251332947838b724a9680f054d5.png
Cicor Group,Stand P1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI3NDM=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI3NDM=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fabf3e4ca84d7467c925852cb90df287e.jpeg&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/abf3e4ca84d7467c925852cb90df287e.jpeg
Circutor,Stand S5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MDUwMjY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MDUwMjY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fee949d5545a544498e7f34f1d5f0e984.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/ee949d5545a544498e7f34f1d5f0e984.png
COAX Connectors,Stand A24,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fa4c88769154c4eca97fbf8bd1dfcf302.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/a4c88769154c4eca97fbf8bd1dfcf302.png
Coilcraft Europe,Stand G7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTc=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTc=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F9c91f3d349084ab5a6ac13330ebc40d4.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/9c91f3d349084ab5a6ac13330ebc40d4.png
